full_word,abbreviation
bq_,
.,
/,
Abandon,ABNDN
Abbreviate,ABBR
Abbreviated,ABBR
Abbreviation,ABBR
Abend,ABEND
Abnormal,ABNORM
Abort,ABORT
Absence,ABSC
Absent,ABSNT
Absolute,ABS
Accept,ACCPT
Acceptance,ACCPTC
Accepted,ACCPT
Accepting,ACCPT
Access,ACC
Accessory,ACCSRY
Accident,ACCID
Accommodate,ACCOM
Accomplish,ACCOMPL
Account,ACCT
Account Payable,AP
Account Receivable,AR
Accountant,ACCTNT
Accounting,ACCTG
Accounts Payable,AP
Accounts Receivable,AR
Accredit,ACCR
Accrual,ACRU
Accrue,ACRU
Accumulate,ACCUM
Accumulated,ACCUM
Accumulation,ACCUM
Accuracy,ACCUR
Accurate,ACCUR
Achieve,ACHV
Acknowledge,ACKNW
Acknowledgement,ACKNW
Acquire,ACQ
Acquisition,ACQ
Acronym,ACR
Action,ACT
Activation,ACTVN
Active,ACTV
Activity,ACTVY
Actual,ACTL
Actuary,ACTRY
actvn,actn
Actvy,
Adapter,ADPTR
Addendum,ADD
Addition,ADD
Additional,ADDNL
Address,ADDR
Adhoc,ADHOC
Adjacent,ADJCNT
Adjust,ADJ
Adjusted,ADJ
Adjustment,ADJMT
Administer,ADMIN
Administrate,ADMIN
Administration,ADMIN
Administrative,ADMIN
Administrator,ADMIN
ADSL,ADSL
Advance,ADV
Advanced,ADV
Advertise,AD
Advertised,AD
Advertisement,AD
Advertiser,ADVTSR
Advertising,AD
Advice,ADVC
Advise,ADVS
Aerial,AER
Affect,AFF
Affected,AFF
Affiliate,AFFIL
Affiliation,AFFIL
Age,AGE
Agency,AGNCY
Agent,AGNT
Aggregate,AGGR
Aggregated,AGGR
Aggregation,AGGR
Aging,AGE
Agree,AGREE
Agreement,AGRMT
Alarm,ALARM
Alaska,AK
Alberta,AB
Alert,ALERT
Algorithm,ALGO
Alias,ALIAS
Align,ALGN
Alliance,ALLNC
Allocate,ALLOC
Allocated,ALLOC
Allocation,ALLOC
Allow,ALLOW
Allowable,ALLOW
Allowance,ALLOW
Alone,ALONE
Alpha,ALPHA
Alphabet,ALPHA
Alphabetic,ALPHA
Alphanumeric,ALPHANUM
Alta,AB
Alter,ALTER
Alternate,ALT
Alternative,ALT
Altitude,ALTT
Amendment,AMNDMT
America,AMER
American,AMER
Amount,AMT
Analogue,ANLG
Analysis,ANAL
Analyze,ANALZ
Announce,ANN
Annual,ANNL
Annuity,ANNTY
Annum,ANNUM
Answer,ANS
Antenna,ANT
Antique,ANTQ
Apartment,APT
Appeal,APL
Append,APP
Appendix,APPX
Applicability,APPLIC
Applicable,APPLIC
Applicant,APPLIC
Application,APPL
Application Catalog,APPCAT
Applied,APPLD
Apply,APPLY
Appoint,APPT
Appointment,APPT
Appraise,APRS
Approval,APPRVL
Approve,APPRV
Approved,APPRV
Approver,APPRVR
Approximate,APPROX
Approximately,APPROX
April,APR
Arbitrary,ARB
Arbitrate,ARB
Arbitration,ARB
Architect,ARCH
Architecture,ARCH
Archive,ARCV
Area,AREA
Argue,ARG
Argument,ARGMT
Arithmetic,ARITH
Around,ARND
Arrange,ARRNG
Arrangement,ARRNGMT
Array,ARRAY
Arrears,ARREARS
Arrive,ARRV
Article,ART
Assemble,ASSEM
Assembler,ASSEMR
Assembly,ASSEM
Asserted,ASSRT
Assess,ASS
Assessment,ASSMT
Asset,ASSET
Assign,ASGN
Assigned,ASGN
Assigned Product Association,AP_ASSN
Assigned Product Item,AP_ITM
Assigner,ASGNR
Assigning,ASGN
Assignment,ASGNMT
Assignor,ASGNR
Assist,ASST
Assistance,ASST
Associate,ASSOC
Associated,ASSOC
Association,ASSN
Assume,ASSUM
Assumption,ASSUM
Asterisk,ASTK
Asynchronous,ASYNC
Atlas,ATLAS
Atmosphere,ATMOS
Attach,ATTCH
Attachment,ATTCHMT
Attainable,ATTNBL
Attempt,ATMPT
Attend,ATTND
Attendance,ATTNDC
Attention,ATTN
Attenuation,ATTNTN
Attribute,ATTR
Attributed,ATTR
Attributes,ATTR
Audience,AUDNC
Audiovisual,AV
Audit,AUDIT
Auditability,AUDIT
Augment,AUGMT
August,AUG
Authentication,AUTHENTICN
Author,AUTHR
Authority,AUTH
Authorization,AUTHZN
Authorize,AUTHZ
Authorizer,AUTHZR
Automate,AUTO
Automatic,AUTO
Automatic Call Distributing,ACD
Automatic Call Distribution,ACD
Automatic Mail Collection,AMC
Automatic Number Id,ANI
