Full Name,Name,Asset Id,Asset Type,[Business Term] has acronym [Acronym] > Name,[Business Term] has acronym [Acronym] > Full Name,[Business Term] has acronym [Acronym] > Asset Type,[Business Term] has acronym [Acronym] > Community,[Business Term] has acronym [Acronym] > Domain Type,[Business Term] has acronym [Acronym] > Domain,[Business Term] has acronym [Acronym] > Domain Id,[Business Term] has acronym [Acronym] > Asset Id,Definition,Status,Domain,Community,Domain Type,Domain Id
Pure Fibre East, PFE,019ebcbf-10b8-74bf-96b5-22cd8e780696,Business Term,,,,,,,,,TELUS Internet services for Eastern Canada.,,,,,
2nd Generation,2G,c48e41b3-9d8b-4ec4-b692-71663b860494,Business Term,,,,,,,,,"In the context of telecommunications, 2nd Generation (2G) refers to the second generation of mobile network technology standards. 2G networks were introduced in the early 1990s as an evolution from the first generation (1G) analog cellular networks. The transition to 2G brought significant improvements in terms of digital voice quality, data services, and network capacity. Key features of 2G networks include: Digital Voice : 2G networks introduced digital voice encoding, which improved call quality and reduced interference compared to analog systems. Data Services : 2G networks enabled basic data services such as SMS (Short Message Service) and MMS (Multimedia Messaging Service). Security : Enhanced security features such as encryption were introduced in 2G networks to protect user communications. Global System for Mobile Communications (GSM) : The most widely adopted 2G technology, GSM standardized network protocols and allowed for interoperability between different operators and regions. Some of the popular 2G technologies include: GSM (Global System for Mobile Communications) : Widely deployed 2G technology globally. CDMA (Code Division Multiple Access) : Another 2G technology used in some regions, especially in North America. While 2G networks paved the way for digital mobile communications and basic data services, they were eventually succeeded by newer generations of mobile networks such as 3G, 4G, and now 5G. These subsequent generations brought further advancements in data speeds, network capacity, and support for advanced services like mobile internet, video streaming, and IoT (Internet of Things) connectivity.",,,,,
3rd Generation,3G,b5d63a9f-bbca-4eee-8da9-6d8e3a49642e,Business Term,,,,,,,,,"In the realm of telecommunications, the 3rd Generation (3G) represents the third iteration of mobile network technology standards. 3G networks were introduced in the early 2000s as an advancement over 2G networks, offering higher data speeds, improved voice quality, and enhanced multimedia capabilities. Key features and advancements of 3G networks include: Higher Data Speeds : 3G networks provided significantly faster data speeds compared to 2G, enabling services like mobile internet browsing, video streaming, and video calling. Enhanced Multimedia Support : 3G networks supported multimedia services such as video calls, mobile TV, and music streaming. Wider Coverage and Capacity : 3G networks expanded network coverage and capacity, allowing for more users to connect simultaneously and access data-intensive services. Packet-Switched Data : 3G networks introduced packet-switched data transmission, which improved efficiency in handling data traffic. Some of the prominent 3G technologies include: UMTS (Universal Mobile Telecommunications System) : A widely deployed 3G technology based on the WCDMA (Wideband Code Division Multiple Access) standard. CDMA2000 : Another 3G technology used in some regions, particularly in North America and parts of Asia. 3G networks played a crucial role in the evolution of mobile communications by enabling a wide range of data services and paving the way for the mobile internet era. However, with the rapid growth of data consumption and the demand for higher data speeds, 3G networks have been gradually phased out in favor of newer generations of mobile networks such as 4G LTE and 5G, which offer even faster speeds, lower latency, and enhanced capabilities to support emerging technologies like IoT and augmented reality.",,,,,
3rd Generation Partnership Project,3GPP,19b33e92-40e0-4165-a8e8-f735a3b50537,Business Term,,,,,,,,,"3rd Generation Partnership Project (3GPP) refers to a global telecommunications collaboration that aims to develop standards and specifications for mobile communications systems. It brings together various organizations from different regions to establish guidelines for the design, deployment, and operation of wireless networks and technologies. Its focus is on enabling seamless connectivity, interoperability, and efficient use of resources across different generations of mobile networks.",,,,,
4th Generation,4G,3a58857f-820f-4322-98b9-e205abfc2c6c,Business Term,,,,,,,,,"In the telecommunications industry, the 4th Generation (4G) represents the fourth iteration of mobile network technology standards. 4G networks were introduced in the late 2000s and early 2010s as a significant advancement over 3G networks, offering faster data speeds, lower latency, and improved network efficiency. Key features and advancements of 4G networks include: High-Speed Data : 4G networks deliver significantly faster data speeds than 3G, enabling seamless streaming of high-definition video, online gaming, and faster downloads. Low Latency : 4G networks have lower latency, reducing the delay in data transmission and improving real-time communication applications like video calls and online gaming. IP-Based Network : 4G networks are based on IP (Internet Protocol), allowing for seamless integration with the internet and supporting a wide range of IP-based services and applications. Efficient Spectrum Utilization : 4G technologies use spectrum more efficiently, enabling higher data capacity and better network performance. Some of the prominent 4G technologies include: LTE (Long-Term Evolution) : The most widely deployed 4G technology, offering high data speeds and low latency. WiMAX (Worldwide Interoperability for Microwave Access) : Another 4G technology that provides wireless broadband access. 4G networks have revolutionized mobile communications by enabling a wide range of data-intensive services and applications, including mobile broadband, video streaming, cloud services, and IoT connectivity. The widespread adoption of 4G has laid the foundation for the digital transformation of industries and the proliferation of connected devices. As the demand for faster speeds and more advanced services continues to grow, the telecommunications industry has been transitioning to the next generation of mobile networks, 5G, which promises even higher data speeds, ultra-low latency, and support for emerging technologies like autonomous vehicles, smart cities, and industrial automation.",,,,,
5th Generation,5G,b8186fff-a94f-4458-8d8e-40130b33eba0,Business Term,,,,,,,,,"5th Generation in the context of Telecommunications refers to the latest and most advanced standard of mobile network technology. It represents a significant leap from previous generations, enabling higher speeds, lower latency, and improved capacity for wireless communication.",,,,,
5G New Radio,5G NR,9d00782f-a7bf-4103-bf27-4213575f3b68,Business Term,,,,,,,,,"5G New Radio is a standard for wireless communication in the field of telecommunications that defines the air interface between mobile devices and base stations. It enables faster and more reliable connections between devices, supporting higher data rates and lower latency compared to previous generations of wireless technology.",,,,,
5G Residential Gateway,5G RG,04302110-108b-4e82-84a9-ab00a7dca517,Business Term,,,,,,,,,5G Residential Gateway is a device used in the field of telecommunications. It serves as a central hub that enables residential users to access and utilize 5G network connectivity within their homes or premises.,,,,,
5G Globally Unique Temporary Identifier,5G-GUTI,ad4fb9bf-557d-4f67-99e0-930f4327206a,Business Term,,,,,,,,,"The 5G Globally Unique Temporary Identifier (GUTI) is a key element in 5G mobile networks that serves as a temporary identifier for a user equipment (UE) when it connects to the network. The GUTI is used to uniquely identify and authenticate the UE within the 5G network, allowing for secure and efficient communication between the UE and the network. Here are some key points about the 5G GUTI: Temporary Identifier : The GUTI is temporary and is assigned to the UE when it attaches to the 5G network. It is used during the initial registration process and while the UE is connected to the network. Global Uniqueness : The GUTI is globally unique, meaning that no two UEs in the 5G network will have the same GUTI. This uniqueness ensures that each UE can be identified and managed individually. Privacy Protection : The GUTI plays a role in protecting the privacy of the UE by concealing its permanent identity (such as the International Mobile Subscriber Identity or IMSI) from external entities in the network. Security : The GUTI is used in the authentication and security procedures between the UE and the network to ensure that only authorized UEs can access the network and that communication is secure. Mobility Management : The GUTI is essential for mobility management in 5G networks, allowing the network to track the UE's location, manage handovers between cells, and maintain seamless connectivity as the UE moves within the network. Overall, the 5G GUTI plays a critical role in the operation of 5G networks by providing a temporary and globally unique identifier for UEs, ensuring privacy protection, security, and efficient mobility management. It is an essential component that enables secure and reliable communication between UEs and the 5G network infrastructure",,,,,
5G S-Temporary Mobile Subscription Identifier,5G-S-TMSI,ddec9958-154b-40cb-b0b5-e6dff1c0260d,Business Term,,,,,,,,,5G S-Temporary Mobile Subscription Identifier is a unique identification code used in the field of telecommunications. It enables the temporary allocation of a mobile subscription within the context of 5G technology. This identifier plays a crucial role in distinguishing and managing temporary mobile subscriptions without providing specific examples or discussing potential benefits.,,,,,
